Tip produs ,Denumire,slug
Vopsele Lavabile,Vopsea Lavabila Cuartz “Emex QT”,lavabila-cuartz-fatade
,Vopsea Elastomerica Exterior “Emex Flexio”,vopsea-elastomerica-tencuieli-exterior
,Ultralavabila Baie - Bucatarie  “Emex Ceramic”,lavabila-ceramica-baie-bucatarie
,Vopsea Lavabila Premium “Emex Gold”,lavabila-premium-gold
,Vopsea Superlavabila Interior “Emex”,superlavabila-interior-emex
,Vopsea Lavabila Antimucegai “Emex”,vopsea-lavabila-antimucegai
,Vopsea Lavabila Siliconica Interior “Emex”,lavabila-siliconica-interior
,Vopsea Lavabila Lucioasa “Emex Gloss”,vopsea-lavabila-lucioasa
,Vopsea Lavabila Silicatica Interior “Emex”,lavabila-silicatica-interior
,Vopsea Lavabila Silicatica Exterior “Emex”,lavabila-silicatica-exterior
,Vopsea Lavabila Satinata “Emex Silk”,lavabila-satinata-interior
,Vopsea Lavabila Interior “Neomatt Plus”,lavabila-interior-neomatt-plus
,Vopsea Lavabila Siliconica Exterior “Emex”,lavabila-siliconica-exterior
,Vopsea Superlavabila Exterior “Emex”,superlavabila-exterior-emex
,Vopsea Lavabila Exterior Economica “Emex”,lavabila-exterior-neomatt
,Vopsea Lavabila de Corectie “Emex”,lavabila-interior-efect-optic
,Vopsea Lavabila cu Perle Reflectorizante “Emex”,vopsea-lavabila-reflectorizanta
,,
Vopsele Decorative,Email Alchidic Premium “Emex Gold”,email-emex-gold
,Email Alchidic “Emex Extracolor”,email-alchidic-emex
,Email Alchidic “Emex Dual Protect”,emex-dual-protect
,Email Alchido-Stirenic “Emex EQS”,vopsea-metal-alchido-stirenica
,Email Bronz Aluminiu “Emex”,email-bronz-aluminiu
,Email Alchido-Uretanizat “Emex Code”,vopsea-uretanizata-metal-exterior
,Vopsea Satinata Alchidica Baza Apa “Emcolor”,vopsea-satinata-emcolor
,Lac Parchet Alchido-Uretanizat “Emex”,lac-parchet
,Lac Alchido-Uretanizat Lemn Exterior “Emex”,lac-uretanizat-mobilier-gradina
,Lac Alchidic pentru Lemn “Emex”,lac-alchidic
,Lazura pentru Lemn “Emex WX”,lazura-lac-colorat
,Lac Acrilic pentru Piatra “Emex WS”,lac-piatra-solvent
,Grund Alchidic Anticoroziv “Emex”,grund-alchidic-anticoroziv
,Grund Alchidic pentru Lemn si Binale “Emex”,grund-binale
,Solutie Antirugina “EMEX” Curatare Rugina,solutie-anti-rugina
,Decapant Vopsea Veche “EMEX CM Cleaner”,decapant-vopsea-lemn-metal
,"Pasta decapanta
“Emex PC Eco”",decapant-ecologic-vopsele
,Diluant Alchidic “Emex”,diluant-alchidic
,,
Tencuieli Decorative,Tencuiala Decorativa “Emex Quartz Dekor”,tencuiala-decorativa-acrilica
,Tencuiala Fibra de Sticla “Emex GF-Mesh” ,tencuiala-decorativa-fibra-sticla
,Tencuiala Decorativa “Emex Aqua Protect”,tencuiala-decorativa-impermeabila
,Tencuiala Decorativa Siliconica “Emex”,tencuiala-decorativa-siliconica
,Tencuiala Decorativa Mozaicata de Soclu “Emex”,tencuiala-soclu
,Tencuiala Decorativa Periata “Emex”,tencuiala-decorativa-periata
,Tencuiala Decorativa Bob de Orez “Emex”,tencuiala-decorativa-praf-piatra
,Tencuiala Decorativa Silicatica “Emex”,tencuiala-decorativa-silicatica
,Vopsea Decorativa Texturata “Emex”,vopsea-texturata-emex
,Amorsa cu Cuart pentru Tencuiala Acrilica “Emex”,amorsa-cuart-tencuieli-decorative
,Amorsa cu Cuart pentru Tencuiala Siliconica “Emex”,amorsa-cuart-tencuieli-siliconice
,Amorsa cu Cuart pentru Tencuiala Silicatica “Emex”,amorsa-cuart-silicatica-tencuiala
,,
Vopsele Industriale,Vopsea Poliuretanica Piscina “Emex Pool”,vopsea-poliuretanica-piscina
,Email Epoxidic “Emex”,vopsea-epoxidica
,Email Epoxidic cu Microfulgi “Emex EFS-323” ,email-epoxidic-medii-agresive
,Email Acrilo-Stirenic “Emex Panel” ,email-panouri-sandwich
,Vopsea Acrilica Bicomponenta “Emex Hybrid”,vopsea-acrilica-bicomponenta-noiso
,Vopsea Acrilica 3 in 1 Anticoroziva “Emex Aegis G3”,vopsea-acrilica-3-in-1-anticoroziva
,Email Alchido-Poliuretanic “Emex Screenpol”,vopsea-tigla-metalica-screenpol
,Vopsea 3 in 1 Epoxy-Ester “Emex Q3-Guard”,vopsea-3-in-1-anticoroziva-epoxi-ester
,Email Epoxidic Emulsionat “Emex WD-E”,email-epoxidic-emulsionat-apa
,Email Poliuretanic “Emex”,vopsea-poliuretanica
