id,file_original_name,file_name,data,path,is_image,created_at,updated_at,slug,
1,Lavabila-antimicrobiana-antimucegai.webp,Lavabila-antimicrobiana-antimucegai.webp,"{""title"":""Vopsea lavabila impotriva mucegaiului si igrasiei"",""alt"":""Lavabila de protectie contra igrasie mucegai""}",vopsele-emex/lavabile/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-lavabila-antimucegai,✔
2,Lavabila-exterior-cuartz-de-mare-duritate.webp,Lavabila-exterior-cuartz-de-mare-duritate.webp,"{""title"":""Vopsea lavabila cu cuart duritate mare"",""alt"":""Vopsea lavabila profesionala cu cuart""}",vopsele-emex/lavabile/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lavabila-cuartz-fatade,✔
3,Lavabila-premium-efect-vizualizare-defecte.webp,Lavabila-premium-efect-vizualizare-defecte.webp,"{""title"":""Vopsea lavabila pentru vizualizare defecte"",""alt"":""Vopsea de vizualizare si corectie defecte""}",vopsele-emex/lavabile/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lavabila-interior-efect-optic,✔
4,Lavabila-silicatica-zugraveli-interioare.webp,Lavabila-silicatica-zugraveli-interioare.webp,"{""title"":""Lavabila silicatica profesionala de interior"",""alt"":""Lavabila pentru restaurari si zugraveli speciale""}",vopsele-emex/lavabile/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lavabila-silicatica-interior,✔
5,Vopsea-elastomerica-tencuieli-exterioare.webp,Vopsea-elastomerica-tencuieli-exterioare.webp,"{""title"":""Vopsea elastomerica lavabila pentru decorare tencuieli"",""alt"":""Vopsea lavabila elastomerica pentru vopsiri profesionale""}",vopsele-emex/lavabile/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-elastomerica-tencuieli-exterior,✔
6,Vopsea-lavabila-anti-condens-ceramica.webp,Vopsea-lavabila-anti-condens-ceramica.webp,"{""title"":""Vopsea ultralavabila ceramica baie bucatarie"",""alt"":""Vopsea lavabila anticondens cu microsfere ceramice""}",vopsele-emex/lavabile/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lavabila-ceramica-baie-bucatarie,✔
7,Vopsea-lavabila-cu-microperle-reflectorizante-sticla.webp,Vopsea-lavabila-cu-microperle-reflectorizante-sticla.webp,"{""title"":""Vopsea lavabila reflectorizanta pentru zugraveli decorative"",""alt"":""Vopsea lavabila decorativa cu microperle""}",vopsele-emex/lavabile/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-lavabila-reflectorizanta,✔
8,Vopsea-lavabila-economica-de-interior.webp,Vopsea-lavabila-economica-de-interior.webp,"{""title"":""Vopsea lavabila de interior ieftina"",""alt"":""Lavabila economica de interior pentru pereti""}",vopsele-emex/lavabile/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lavabila-interior-neomatt-plus,✔
9,Vopsea-lavabila-exterior-ieftina.webp,Vopsea-lavabila-exterior-ieftina.webp,"{""title"":""Vopsea lavabila ieftina pentru zugraveli exterior"",""alt"":""Lavabila economica pentru tencuieli exterioare""}",vopsele-emex/lavabile/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lavabila-exterior-neomatt,✔
10,Vopsea-lavabila-interior-satinata.webp,Vopsea-lavabila-interior-satinata.webp,"{""title"":""Vopsea superioara lavabila satinata"",""alt"":""Vopsea satinata cu lavabilitate mare""}",vopsele-emex/lavabile/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lavabila-satinata-interior,✔
